ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2014-08-23 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-24 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-25 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-26 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-27 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-28 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-29 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-30 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-08-31 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-09-01 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-09-02 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-09-03 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-09-04 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-09-05 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-09-06 07:30:00,-0.3474,-0.3666,-0.3791,-0.3726,-0.3753,-0.363,-0.3473,-0.3449,-0.3464,-0.3316,-0.3172,-0.3348,-0.3259,-0.3198,-0.2811,-0.2535,-0.2196,-0.2116,-0.2156,-0.231,-0.2203,-0.2138,-0.2078,-0.2179,-0.2658,-0.2459,-0.2428,-0.2369,-0.2279,-0.2324,-0.2165,-0.237,-0.2206,-0.1941,-0.1683,-0.1571,-0.1566,-0.1654,-0.1156,-0.1276,0.0
2014-09-07 07:30:00,-0.3592,-0.3782,-0.3911,-0.3847,-0.3878,-0.3744,-0.3573,-0.3548,-0.3563,-0.3412,-0.3263,-0.3429,-0.333,-0.3264,-0.2872,-0.2601,-0.2267,-0.2192,-0.2232,-0.2381,-0.2264,-0.2194,-0.2134,-0.223,-0.2708,-0.2514,-0.2483,-0.2405,-0.2315,-0.2355,-0.2201,-0.2401,-0.2237,-0.1972,-0.1714,-0.1597,-0.1592,-0.1667,-0.1156,-0.1276,0.0
2014-09-08 07:30:00,-0.3558,-0.3744,-0.3868,-0.3804,-0.383,-0.3701,-0.3535,-0.351,-0.352,-0.3384,-0.3235,-0.3401,-0.3297,-0.3236,-0.2844,-0.2568,-0.2239,-0.2164,-0.2204,-0.2348,-0.2236,-0.2166,-0.2106,-0.2202,-0.2686,-0.2487,-0.2462,-0.2389,-0.2299,-0.2344,-0.219,-0.2395,-0.2231,-0.1966,-0.1708,-0.1596,-0.1591,-0.1671,-0.1156,-0.1276,0.0
2014-09-09 07:30:00,-0.3523,-0.3714,-0.3838,-0.3774,-0.38,-0.3666,-0.3495,-0.347,-0.3485,-0.3359,-0.3215,-0.3381,-0.3272,-0.3211,-0.2829,-0.2558,-0.2234,-0.2164,-0.2204,-0.2342,-0.2225,-0.2155,-0.209,-0.2186,-0.2675,-0.2477,-0.2457,-0.2384,-0.2289,-0.2334,-0.218,-0.2385,-0.2226,-0.1966,-0.1708,-0.1596,-0.1596,-0.1671,-0.1156,-0.1276,0.0
2014-09-10 07:30:00,-0.3506,-0.3692,-0.3815,-0.3752,-0.3782,-0.3652,-0.348,-0.3456,-0.3467,-0.3342,-0.3197,-0.3355,-0.323,-0.3159,-0.2785,-0.2518,-0.2205,-0.2142,-0.2186,-0.2325,-0.2203,-0.2128,-0.2068,-0.2165,-0.2658,-0.2461,-0.2448,-0.2375,-0.2284,-0.2329,-0.2174,-0.2379,-0.2215,-0.1951,-0.1693,-0.158,-0.1574,-0.1659,-0.1156,-0.1276,0.0
2014-09-11 07:30:00,-0.3568,-0.3754,-0.3878,-0.3814,-0.3845,-0.3706,-0.3525,-0.35,-0.3515,-0.3389,-0.324,-0.3396,-0.3268,-0.3192,-0.282,-0.2559,-0.225,-0.219,-0.2235,-0.2368,-0.224,-0.217,-0.211,-0.2206,-0.27,-0.2497,-0.2487,-0.2414,-0.2324,-0.2369,-0.2215,-0.242,-0.2256,-0.1991,-0.1728,-0.1616,-0.1606,-0.1676,-0.1156,-0.1276,0.0
